scenario,run_id,player,total_reward,EV_per_round,ROI
sim1_BS_HiLo_AC,53,AC,172.0,0.344,0.172
sim1_BS_HiLo_AC,53,BS,-65.0,-0.13,-0.065
sim1_BS_HiLo_AC,53,HiLo,-351.0,-0.702,-0.351
sim1_BS_HiLo_AC,54,AC,475.0,0.95,0.475
sim1_BS_HiLo_AC,54,BS,480.0,0.96,0.48
sim1_BS_HiLo_AC,54,HiLo,508.0,1.016,0.508
sim1_BS_HiLo_AC,55,AC,133.0,0.266,0.133
sim1_BS_HiLo_AC,55,BS,-95.0,-0.19,-0.095
sim1_BS_HiLo_AC,55,HiLo,-252.0,-0.504,-0.252
sim1_BS_HiLo_AC,56,AC,485.0,0.97,0.485
sim1_BS_HiLo_AC,56,BS,-195.0,-0.39,-0.195
sim1_BS_HiLo_AC,56,HiLo,-48.0,-0.096,-0.048
sim1_BS_HiLo_AC,57,AC,793.0,1.586,0.793
sim1_BS_HiLo_AC,57,BS,-70.0,-0.14,-0.07
sim1_BS_HiLo_AC,57,HiLo,-209.0,-0.418,-0.209
sim1_BS_HiLo_AC,58,AC,-212.0,-0.424,-0.212
sim1_BS_HiLo_AC,58,BS,-40.0,-0.08,-0.04
sim1_BS_HiLo_AC,58,HiLo,-297.0,-0.594,-0.297
sim1_BS_HiLo_AC,59,AC,9.0,0.018,0.009
sim1_BS_HiLo_AC,59,BS,55.0,0.11,0.055
sim1_BS_HiLo_AC,59,HiLo,-367.0,-0.734,-0.367
sim1_BS_HiLo_AC,60,AC,258.0,0.516,0.258
sim1_BS_HiLo_AC,60,BS,-180.0,-0.36,-0.18
sim1_BS_HiLo_AC,60,HiLo,-95.0,-0.19,-0.095
sim1_BS_HiLo_AC,61,AC,317.0,0.634,0.317
sim1_BS_HiLo_AC,61,BS,25.0,0.05,0.025
sim1_BS_HiLo_AC,61,HiLo,34.0,0.068,0.034
sim1_BS_HiLo_AC,62,AC,164.0,0.328,0.164
sim1_BS_HiLo_AC,62,BS,180.0,0.36,0.18
sim1_BS_HiLo_AC,62,HiLo,-201.0,-0.402,-0.201
sim1_BS_HiLo_AC,63,AC,-343.0,-0.686,-0.343
sim1_BS_HiLo_AC,63,BS,-305.0,-0.61,-0.305
sim1_BS_HiLo_AC,63,HiLo,-49.0,-0.098,-0.049
sim1_BS_HiLo_AC,64,AC,368.0,0.736,0.368
sim1_BS_HiLo_AC,64,BS,-175.0,-0.35,-0.175
sim1_BS_HiLo_AC,64,HiLo,-63.0,-0.126,-0.063
sim1_BS_HiLo_AC,65,AC,434.0,0.868,0.434
sim1_BS_HiLo_AC,65,BS,-105.0,-0.21,-0.105
sim1_BS_HiLo_AC,65,HiLo,494.0,0.988,0.494
sim1_BS_HiLo_AC,66,AC,396.0,0.792,0.396
sim1_BS_HiLo_AC,66,BS,50.0,0.1,0.05
sim1_BS_HiLo_AC,66,HiLo,259.0,0.518,0.259
sim1_BS_HiLo_AC,67,AC,135.0,0.27,0.135
sim1_BS_HiLo_AC,67,BS,320.0,0.64,0.32
sim1_BS_HiLo_AC,67,HiLo,457.0,0.914,0.457
sim1_BS_HiLo_AC,68,AC,-977.0,-1.954,-0.977
sim1_BS_HiLo_AC,68,BS,-250.0,-0.5,-0.25
sim1_BS_HiLo_AC,68,HiLo,-938.0,-1.876,-0.938
sim1_BS_HiLo_AC,69,AC,-128.0,-0.256,-0.128
sim1_BS_HiLo_AC,69,BS,150.0,0.3,0.15
sim1_BS_HiLo_AC,69,HiLo,820.0,1.64,0.82
sim1_BS_HiLo_AC,70,AC,197.0,0.394,0.197
sim1_BS_HiLo_AC,70,BS,600.0,1.2,0.6
sim1_BS_HiLo_AC,70,HiLo,162.0,0.324,0.162
sim1_BS_HiLo_AC,71,AC,-192.0,-0.384,-0.192
sim1_BS_HiLo_AC,71,BS,255.0,0.51,0.255
sim1_BS_HiLo_AC,71,HiLo,-5.0,-0.01,-0.005
sim1_BS_HiLo_AC,72,AC,-834.0,-1.668,-0.834
sim1_BS_HiLo_AC,72,BS,-65.0,-0.13,-0.065
sim1_BS_HiLo_AC,72,HiLo,-823.0,-1.646,-0.823
sim1_BS_HiLo_AC,73,AC,-228.0,-0.456,-0.228
sim1_BS_HiLo_AC,73,BS,75.0,0.15,0.075
sim1_BS_HiLo_AC,73,HiLo,-76.0,-0.152,-0.076
sim1_BS_HiLo_AC,74,AC,-144.0,-0.288,-0.144
sim1_BS_HiLo_AC,74,BS,-105.0,-0.21,-0.105
sim1_BS_HiLo_AC,74,HiLo,555.0,1.11,0.555
sim1_BS_HiLo_AC,75,AC,-146.0,-0.292,-0.146
sim1_BS_HiLo_AC,75,BS,110.0,0.22,0.11
sim1_BS_HiLo_AC,75,HiLo,120.0,0.24,0.12
sim1_BS_HiLo_AC,76,AC,902.0,1.804,0.902
sim1_BS_HiLo_AC,76,BS,180.0,0.36,0.18
sim1_BS_HiLo_AC,76,HiLo,-340.0,-0.68,-0.34
sim1_BS_HiLo_AC,77,AC,218.0,0.436,0.218
sim1_BS_HiLo_AC,77,BS,265.0,0.53,0.265
sim1_BS_HiLo_AC,77,HiLo,-68.0,-0.136,-0.068
sim1_BS_HiLo_AC,78,AC,88.0,0.176,0.088
sim1_BS_HiLo_AC,78,BS,-85.0,-0.17,-0.085
sim1_BS_HiLo_AC,78,HiLo,443.0,0.886,0.443
sim1_BS_HiLo_AC,79,AC,232.0,0.464,0.232
sim1_BS_HiLo_AC,79,BS,-25.0,-0.05,-0.025
sim1_BS_HiLo_AC,79,HiLo,43.0,0.086,0.043
sim1_BS_HiLo_AC,80,AC,70.0,0.14,0.07
sim1_BS_HiLo_AC,80,BS,135.0,0.27,0.135
sim1_BS_HiLo_AC,80,HiLo,-61.0,-0.122,-0.061
sim1_BS_HiLo_AC,81,AC,321.0,0.642,0.321
sim1_BS_HiLo_AC,81,BS,110.0,0.22,0.11
sim1_BS_HiLo_AC,81,HiLo,38.0,0.076,0.038
sim1_BS_HiLo_AC,82,AC,27.0,0.054,0.027
sim1_BS_HiLo_AC,82,BS,120.0,0.24,0.12
sim1_BS_HiLo_AC,82,HiLo,362.0,0.724,0.362
sim1_BS_HiLo_AC,83,AC,52.0,0.104,0.052
sim1_BS_HiLo_AC,83,BS,-150.0,-0.3,-0.15
sim1_BS_HiLo_AC,83,HiLo,256.0,0.512,0.256
sim1_BS_HiLo_AC,84,AC,642.0,1.284,0.642
sim1_BS_HiLo_AC,84,BS,405.0,0.81,0.405
sim1_BS_HiLo_AC,84,HiLo,457.0,0.914,0.457
sim1_BS_HiLo_AC,85,AC,371.0,0.742,0.371
sim1_BS_HiLo_AC,85,BS,-70.0,-0.14,-0.07
sim1_BS_HiLo_AC,85,HiLo,24.0,0.048,0.024
sim1_BS_HiLo_AC,86,AC,-436.0,-0.872,-0.436
sim1_BS_HiLo_AC,86,BS,-175.0,-0.35,-0.175
sim1_BS_HiLo_AC,86,HiLo,275.0,0.55,0.275
sim1_BS_HiLo_AC,87,AC,156.0,0.312,0.156
sim1_BS_HiLo_AC,87,BS,-290.0,-0.58,-0.29
sim1_BS_HiLo_AC,87,HiLo,-4.0,-0.008,-0.004
sim1_BS_HiLo_AC,88,AC,139.0,0.278,0.139
sim1_BS_HiLo_AC,88,BS,480.0,0.96,0.48
sim1_BS_HiLo_AC,88,HiLo,712.0,1.424,0.712
sim1_BS_HiLo_AC,89,AC,119.0,0.238,0.119
sim1_BS_HiLo_AC,89,BS,410.0,0.82,0.41
sim1_BS_HiLo_AC,89,HiLo,115.0,0.23,0.115
sim1_BS_HiLo_AC,90,AC,-156.0,-0.312,-0.156
sim1_BS_HiLo_AC,90,BS,205.0,0.41,0.205
sim1_BS_HiLo_AC,90,HiLo,-276.0,-0.552,-0.276
sim1_BS_HiLo_AC,91,AC,-218.0,-0.436,-0.218
sim1_BS_HiLo_AC,91,BS,300.0,0.6,0.3
sim1_BS_HiLo_AC,91,HiLo,669.0,1.338,0.669
sim1_BS_HiLo_AC,92,AC,169.0,0.338,0.169
sim1_BS_HiLo_AC,92,BS,145.0,0.29,0.145
sim1_BS_HiLo_AC,92,HiLo,-412.0,-0.824,-0.412
sim1_BS_HiLo_AC,93,AC,-188.0,-0.376,-0.188
sim1_BS_HiLo_AC,93,BS,5.0,0.01,0.005
sim1_BS_HiLo_AC,93,HiLo,-188.0,-0.376,-0.188
sim1_BS_HiLo_AC,94,AC,-205.0,-0.41,-0.205
sim1_BS_HiLo_AC,94,BS,-70.0,-0.14,-0.07
sim1_BS_HiLo_AC,94,HiLo,-393.0,-0.786,-0.393
sim1_BS_HiLo_AC,95,AC,-239.0,-0.478,-0.239
sim1_BS_HiLo_AC,95,BS,150.0,0.3,0.15
sim1_BS_HiLo_AC,95,HiLo,-92.0,-0.184,-0.092
sim1_BS_HiLo_AC,96,AC,-134.0,-0.268,-0.134
sim1_BS_HiLo_AC,96,BS,65.0,0.13,0.065
sim1_BS_HiLo_AC,96,HiLo,-430.0,-0.86,-0.43
sim1_BS_HiLo_AC,97,AC,-239.0,-0.478,-0.239
sim1_BS_HiLo_AC,97,BS,225.0,0.45,0.225
sim1_BS_HiLo_AC,97,HiLo,-498.0,-0.996,-0.498
sim1_BS_HiLo_AC,98,AC,-69.0,-0.138,-0.069
sim1_BS_HiLo_AC,98,BS,-365.0,-0.73,-0.365
sim1_BS_HiLo_AC,98,HiLo,-8.0,-0.016,-0.008
sim1_BS_HiLo_AC,99,AC,266.0,0.532,0.266
sim1_BS_HiLo_AC,99,BS,230.0,0.46,0.23
sim1_BS_HiLo_AC,99,HiLo,1456.0,2.912,1.456
sim1_BS_HiLo_AC,100,AC,2.0,0.004,0.002
sim1_BS_HiLo_AC,100,BS,60.0,0.12,0.06
sim1_BS_HiLo_AC,100,HiLo,536.0,1.072,0.536
sim1_BS_HiLo_AC,101,AC,-302.0,-0.604,-0.302
sim1_BS_HiLo_AC,101,BS,-130.0,-0.26,-0.13
sim1_BS_HiLo_AC,101,HiLo,-370.0,-0.74,-0.37
sim1_BS_HiLo_AC,102,AC,534.0,1.068,0.534
sim1_BS_HiLo_AC,102,BS,-80.0,-0.16,-0.08
sim1_BS_HiLo_AC,102,HiLo,87.0,0.174,0.087
sim1_BS_HiLo_AC,103,AC,-347.0,-0.694,-0.347
sim1_BS_HiLo_AC,103,BS,-215.0,-0.43,-0.215
sim1_BS_HiLo_AC,103,HiLo,-388.0,-0.776,-0.388
sim1_BS_HiLo_AC,104,AC,137.0,0.274,0.137
sim1_BS_HiLo_AC,104,BS,-120.0,-0.24,-0.12
sim1_BS_HiLo_AC,104,HiLo,564.0,1.128,0.564
sim1_BS_HiLo_AC,105,AC,432.0,0.864,0.432
sim1_BS_HiLo_AC,105,BS,-135.0,-0.27,-0.135
sim1_BS_HiLo_AC,105,HiLo,391.0,0.782,0.391
sim1_BS_HiLo_AC,106,AC,384.0,0.768,0.384
sim1_BS_HiLo_AC,106,BS,30.0,0.06,0.03
sim1_BS_HiLo_AC,106,HiLo,95.0,0.19,0.095
sim1_BS_HiLo_AC,107,AC,485.0,0.97,0.485
sim1_BS_HiLo_AC,107,BS,275.0,0.55,0.275
sim1_BS_HiLo_AC,107,HiLo,651.0,1.302,0.651
sim1_BS_HiLo_AC,108,AC,9.0,0.018,0.009
sim1_BS_HiLo_AC,108,BS,-380.0,-0.76,-0.38
sim1_BS_HiLo_AC,108,HiLo,-169.0,-0.338,-0.169
sim1_BS_HiLo_AC,109,AC,85.0,0.17,0.085
sim1_BS_HiLo_AC,109,BS,80.0,0.16,0.08
sim1_BS_HiLo_AC,109,HiLo,-163.0,-0.326,-0.163
sim1_BS_HiLo_AC,110,AC,816.0,1.632,0.816
sim1_BS_HiLo_AC,110,BS,-90.0,-0.18,-0.09
sim1_BS_HiLo_AC,110,HiLo,296.0,0.592,0.296
sim1_BS_HiLo_AC,111,AC,83.0,0.166,0.083
sim1_BS_HiLo_AC,111,BS,65.0,0.13,0.065
sim1_BS_HiLo_AC,111,HiLo,407.0,0.814,0.407
sim1_BS_HiLo_AC,112,AC,224.0,0.448,0.224
sim1_BS_HiLo_AC,112,BS,310.0,0.62,0.31
sim1_BS_HiLo_AC,112,HiLo,601.0,1.202,0.601
sim1_BS_HiLo_AC,113,AC,47.0,0.094,0.047
sim1_BS_HiLo_AC,113,BS,50.0,0.1,0.05
sim1_BS_HiLo_AC,113,HiLo,-173.0,-0.346,-0.173
sim1_BS_HiLo_AC,114,AC,62.0,0.124,0.062
sim1_BS_HiLo_AC,114,BS,110.0,0.22,0.11
sim1_BS_HiLo_AC,114,HiLo,-679.0,-1.358,-0.679
sim1_BS_HiLo_AC,115,AC,-318.0,-0.636,-0.318
sim1_BS_HiLo_AC,115,BS,-65.0,-0.13,-0.065
sim1_BS_HiLo_AC,115,HiLo,-749.0,-1.498,-0.749
